ligand;target;endogenous;ligand_species;target_species;pubmed_id;action
[3H]flunitrazepam;GABAA receptor α1 subunit;f;;Human;;Positive
[3H]zolpidem;GABAA receptor α1 subunit;f;;Human;;Positive
triazolam;GABAA receptor α1 subunit;f;;Human;18537233;Positive
triazolam;GABAA receptor α1 subunit;f;;Human;10633039;Positive
zolpidem;GABAA receptor α1 subunit;f;;Human;8719414|8813598;Positive
5α-pregnan-3α-ol-20-one;GABAA receptor α1 subunit;t;;Human;;Potentiation
tetrahydrodeoxycorticosterone;GABAA receptor α1 subunit;t;;Human;;Potentiation
bicuculline;GABAA receptor α1 subunit;f;;Human;;Antagonist
gabazine;GABAA receptor α1 subunit;f;;Human;;Antagonist
[3H]gabazine;GABAA receptor α1 subunit;f;;Human;;Antagonist
picrotoxin;GABAA receptor α1 subunit;f;;Human;;None
[35S]TBPS;GABAA receptor α1 subunit;f;;Human;;None
TBPS;GABAA receptor α1 subunit;f;;Human;;None
gaboxadol;GABAA receptor α2 subunit;f;;Human;;Agonist
isonipecotic acid;GABAA receptor α2 subunit;f;;Human;;Agonist
[3H]muscimol;GABAA receptor α2 subunit;f;;Human;;Agonist
isoguvacine;GABAA receptor α2 subunit;f;;Human;;Full agonist
muscimol;GABAA receptor α2 subunit;f;;Human;;Full agonist
piperidine-4-sulphonic acid;GABAA receptor α2 subunit;f;;Human;;Full agonist
CGS8216;GABAA receptor α2 subunit;f;;Human;10633039;Inverse agonist
ZK93423;GABAA receptor α2 subunit;f;;Human;9651158;Partial agonist
flumazenil;GABAA receptor α2 subunit;f;;Human;9767648;Antagonist
[11C]flumazenil;GABAA receptor α2 subunit;f;;Human;;Antagonist
[18F]fluoroethylflumazenil;GABAA receptor α2 subunit;f;;Human;;Antagonist
TP003;GABAA receptor α2 subunit;f;;Human;;Antagonist
ZK93426;GABAA receptor α2 subunit;f;;Human;;Antagonist
bretazenil;GABAA receptor α2 subunit;f;;Human;;Full agonist
[3H]flunitrazepam;GABAA receptor α2 subunit;f;;Human;;Full agonist
Zn2+;GABAA receptor α2 subunit;t;;Human;;Inhibition
α3IA;GABAA receptor α2 subunit;f;;Human;;Inverse agonist
α5IA;GABAA receptor α2 subunit;f;;Human;;Inverse agonist
DMCM;GABAA receptor α2 subunit;f;;Human;;Inverse agonist
MRK016;GABAA receptor α2 subunit;f;;Human;;Inverse agonist
Ro15-4513;GABAA receptor α2 subunit;f;;Human;;Inverse agonist
Ro19-4603;GABAA receptor α2 subunit;f;;Human;;Inverse agonist
RO4938581;GABAA receptor α2 subunit;f;;Human;;Inverse agonist
[3H]CGS8216;GABAA receptor α2 subunit;f;;Human;;Mixed
L838417;GABAA receptor α2 subunit;f;;Human;;Partial agonist
ocinaplon;GABAA receptor α2 subunit;f;;Human;;Partial agonist
TPA023;GABAA receptor α2 subunit;f;;Human;;Partial agonist
alprazolam;GABAA receptor α2 subunit;f;;Human;12408715;Positive
AZD7325;GABAA receptor α2 subunit;f;;Human;;Positive
clonazepam;GABAA receptor α2 subunit;f;;Human;2551039;Positive
diazepam;GABAA receptor α2 subunit;f;;Human;2551039;Positive
flunitrazepam;GABAA receptor α2 subunit;f;;Human;8632757;Positive
PF-06372865;GABAA receptor α2 subunit;f;;Human;;Positive
triazolam;GABAA receptor α2 subunit;f;;Human;10633039;Positive
zolpidem;GABAA receptor α2 subunit;f;;Human;8391122;Positive
5α-pregnan-3α-ol-20-one;GABAA receptor α2 subunit;t;;Human;;Potentiation
tetrahydrodeoxycorticosterone;GABAA receptor α2 subunit;t;;Human;;Potentiation
bicuculline;GABAA receptor α2 subunit;f;;Human;;Antagonist
gabazine;GABAA receptor α2 subunit;f;;Human;;Antagonist
[3H]gabazine;GABAA receptor α2 subunit;f;;Human;;Antagonist
picrotoxin;GABAA receptor α2 subunit;f;;Human;;None
[35S]TBPS;GABAA receptor α2 subunit;f;;Human;;None
TBPS;GABAA receptor α2 subunit;f;;Human;;None
gaboxadol;GABAA receptor α3 subunit;f;;Human;;Agonist
isonipecotic acid;GABAA receptor α3 subunit;f;;Human;;Agonist
[3H]muscimol;GABAA receptor α3 subunit;f;;Human;;Agonist
isoguvacine;GABAA receptor α3 subunit;f;;Human;;Full agonist
muscimol;GABAA receptor α3 subunit;f;;Human;;Full agonist
piperidine-4-sulphonic acid;GABAA receptor α3 subunit;f;;Human;;Full agonist
ZK93423;GABAA receptor α3 subunit;f;;Human;9651158;Full agonist
CGS8216;GABAA receptor α3 subunit;f;;Human;10633039;Inverse agonist
flumazenil;GABAA receptor α3 subunit;f;;Human;9767648;Antagonist
[11C]flumazenil;GABAA receptor α3 subunit;f;;Human;;Antagonist
[18F]fluoroethylflumazenil;GABAA receptor α3 subunit;f;;Human;;Antagonist
ZK93426;GABAA receptor α3 subunit;f;;Human;;Antagonist
bretazenil;GABAA receptor α3 subunit;f;;Human;;Full agonist
[3H]flunitrazepam;GABAA receptor α3 subunit;f;;Human;;Full agonist
Zn2+;GABAA receptor α3 subunit;t;;Human;;Inhibition
α5IA;GABAA receptor α3 subunit;f;;Human;;Inverse agonist
DMCM;GABAA receptor α3 subunit;f;;Human;;Inverse agonist
MRK016;GABAA receptor α3 subunit;f;;Human;;Inverse agonist
Ro15-4513;GABAA receptor α3 subunit;f;;Human;;Inverse agonist
Ro19-4603;GABAA receptor α3 subunit;f;;Human;;Inverse agonist
RO4938581;GABAA receptor α3 subunit;f;;Human;;Inverse agonist
[3H]CGS8216;GABAA receptor α3 subunit;f;;Human;;Mixed
α3IA;GABAA receptor α3 subunit;f;;Human;;None
L838417;GABAA receptor α3 subunit;f;;Human;;Partial agonist
ocinaplon;GABAA receptor α3 subunit;f;;Human;;Partial agonist
TP003;GABAA receptor α3 subunit;f;;Human;;Partial agonist
TPA023;GABAA receptor α3 subunit;f;;Human;;Partial agonist
alprazolam;GABAA receptor α3 subunit;f;;Human;12408715;Positive
AZD7325;GABAA receptor α3 subunit;f;;Human;;Positive
clonazepam;GABAA receptor α3 subunit;f;;Human;2551039;Positive
diazepam;GABAA receptor α3 subunit;f;;Human;2551039;Positive
flunitrazepam;GABAA receptor α3 subunit;f;;Human;8632757;Positive
triazolam;GABAA receptor α3 subunit;f;;Human;10633039;Positive
zolpidem;GABAA receptor α3 subunit;f;;Human;8391122;Positive
5α-pregnan-3α-ol-20-one;GABAA receptor α3 subunit;t;;Human;;Potentiation
tetrahydrodeoxycorticosterone;GABAA receptor α3 subunit;t;;Human;;Potentiation
bicuculline;GABAA receptor α3 subunit;f;;Human;;Antagonist
gabazine;GABAA receptor α3 subunit;f;;Human;;Antagonist
[3H]gabazine;GABAA receptor α3 subunit;f;;Human;;Antagonist
picrotoxin;GABAA receptor α3 subunit;f;;Human;;None
[35S]TBPS;GABAA receptor α3 subunit;f;;Human;;None
TBPS;GABAA receptor α3 subunit;f;;Human;;None
gaboxadol;GABAA receptor α4 subunit;f;;Human;;Agonist
isoguvacine;GABAA receptor α4 subunit;f;;Human;;Full agonist
isonipecotic acid;GABAA receptor α4 subunit;f;;Human;;Full agonist
muscimol;GABAA receptor α4 subunit;f;;Human;;Full agonist
piperidine-4-sulphonic acid;GABAA receptor α4 subunit;f;;Human;;Full agonist
[3H]muscimol;GABAA receptor α4 subunit;f;;Human;;Full agonist
[18F]fluoroethylflumazenil;GABAA receptor α4 subunit;f;;Human;;Antagonist
bretazenil;GABAA receptor α4 subunit;f;;Human;;Full agonist
Ro15-4513;GABAA receptor α4 subunit;f;;Human;;Full agonist
[3H]Ro154513;GABAA receptor α4 subunit;f;;Human;;Full agonist
Zn2+;GABAA receptor α4 subunit;t;;Human;;Inhibition
[3H]CGS8216;GABAA receptor α4 subunit;f;;Human;;Mixed
[11C]flumazenil;GABAA receptor α4 subunit;f;;Human;;Partial agonist
cenobamate;GABAA receptor α4 subunit;f;;Human;32325146;Positive
flumazenil;GABAA receptor α4 subunit;f;;Rat;7799410;Positive
5α-pregnan-3α-ol-20-one;GABAA receptor α4 subunit;t;;Human;;Potentiation
tetrahydrodeoxycorticosterone;GABAA receptor α4 subunit;t;;Human;;Potentiation
bicuculline;GABAA receptor α4 subunit;f;;Human;;Antagonist
gabazine;GABAA receptor α4 subunit;f;;Human;;Antagonist
[3H]gabazine;GABAA receptor α4 subunit;f;;Human;;Antagonist
picrotoxin;GABAA receptor α4 subunit;f;;Human;;None
[35S]TBPS;GABAA receptor α4 subunit;f;;Human;;None
TBPS;GABAA receptor α4 subunit;f;;Human;;None
gaboxadol;GABAA receptor α5 subunit;f;;Human;;Agonist
isonipecotic acid;GABAA receptor α5 subunit;f;;Human;;Agonist
isoguvacine;GABAA receptor α5 subunit;f;;Human;;Full agonist
muscimol;GABAA receptor α5 subunit;f;;Human;;Full agonist
piperidine-4-sulphonic acid;GABAA receptor α5 subunit;f;;Human;;Full agonist
[3H]muscimol;GABAA receptor α5 subunit;f;;Human;;Full agonist
CGS8216;GABAA receptor α5 subunit;f;;Human;10633039;Inverse agonist
ZK93423;GABAA receptor α5 subunit;f;;Human;9651158;Partial agonist
flumazenil;GABAA receptor α5 subunit;f;;Human;9767648;Antagonist
[11C]flumazenil;GABAA receptor α5 subunit;f;;Human;;Antagonist
[18F]fluoroethylflumazenil;GABAA receptor α5 subunit;f;;Human;;Antagonist
TP003;GABAA receptor α5 subunit;f;;Human;;Antagonist
TPA023;GABAA receptor α5 subunit;f;;Human;;Antagonist
ZK93426;GABAA receptor α5 subunit;f;;Human;;Antagonist
bretazenil;GABAA receptor α5 subunit;f;;Human;;Full agonist
[3H]flunitrazepam;GABAA receptor α5 subunit;f;;Human;;Full agonist
Zn2+;GABAA receptor α5 subunit;t;;Human;;Inhibition
α3IA;GABAA receptor α5 subunit;f;;Human;;Inverse agonist
α5IA;GABAA receptor α5 subunit;f;;Human;;Inverse agonist
DMCM;GABAA receptor α5 subunit;f;;Human;;Inverse agonist
L655708;GABAA receptor α5 subunit;f;;Human;;Inverse agonist
MRK016;GABAA receptor α5 subunit;f;;Human;;Inverse agonist
Ro15-4513;GABAA receptor α5 subunit;f;;Human;;Inverse agonist
Ro19-4603;GABAA receptor α5 subunit;f;;Human;;Inverse agonist
RO4938581;GABAA receptor α5 subunit;f;;Human;;Inverse agonist
RY024;GABAA receptor α5 subunit;f;;Human;;Inverse agonist
[3H]L655708;GABAA receptor α5 subunit;f;;Human;;Inverse agonist
[3H]CGS8216;GABAA receptor α5 subunit;f;;Human;;Mixed
basmisanil;GABAA receptor α5 subunit;f;;Human;;Negative
ONO-8590580;GABAA receptor α5 subunit;f;;Human;29674331;Negative
L838417;GABAA receptor α5 subunit;f;;Human;;Partial agonist
ocinaplon;GABAA receptor α5 subunit;f;;Human;;Partial agonist
alprazolam;GABAA receptor α5 subunit;f;;Human;12408715;Positive
flunitrazepam;GABAA receptor α5 subunit;f;;Human;8632757;Positive
triazolam;GABAA receptor α5 subunit;f;;Human;18537233;Positive
triazolam;GABAA receptor α5 subunit;f;;Human;10633039;Positive
5α-pregnan-3α-ol-20-one;GABAA receptor α5 subunit;t;;Human;;Potentiation
tetrahydrodeoxycorticosterone;GABAA receptor α5 subunit;t;;Human;;Potentiation
bicuculline;GABAA receptor α5 subunit;f;;Human;;Antagonist
gabazine;GABAA receptor α5 subunit;f;;Human;;Antagonist
[3H]gabazine;GABAA receptor α5 subunit;f;;Human;;Antagonist
picrotoxin;GABAA receptor α5 subunit;f;;Human;;None
[35S]TBPS;GABAA receptor α5 subunit;f;;Human;;None
TBPS;GABAA receptor α5 subunit;f;;Human;;None
[3H]RY80;GABAA receptor α5 subunit;f;;Rat;9353361;Binding
gaboxadol;GABAA receptor α6 subunit;f;;Human;;Agonist
isoguvacine;GABAA receptor α6 subunit;f;;Human;;Full agonist
isonipecotic acid;GABAA receptor α6 subunit;f;;Human;;Full agonist
muscimol;GABAA receptor α6 subunit;f;;Human;;Full agonist
piperidine-4-sulphonic acid;GABAA receptor α6 subunit;f;;Human;;Full agonist
[3H]muscimol;GABAA receptor α6 subunit;f;;Human;;Full agonist
CGS8216;GABAA receptor α6 subunit;f;;Human;;Inverse agonist
[18F]fluoroethylflumazenil;GABAA receptor α6 subunit;f;;Human;;Antagonist
bretazenil;GABAA receptor α6 subunit;f;;Human;;Full agonist
Ro15-4513;GABAA receptor α6 subunit;f;;Human;;Full agonist
[3H]Ro154513;GABAA receptor α6 subunit;f;;Human;;Full agonist
Zn2+;GABAA receptor α6 subunit;t;;Human;;Inhibition
[3H]CGS8216;GABAA receptor α6 subunit;f;;Human;;Mixed
flumazenil;GABAA receptor α6 subunit;f;;Human;9767648;Partial agonist
[11C]flumazenil;GABAA receptor α6 subunit;f;;Human;;Partial agonist
cenobamate;GABAA receptor α6 subunit;f;;Human;32325146;Positive
5α-pregnan-3α-ol-20-one;GABAA receptor α6 subunit;t;;Human;;Potentiation
tetrahydrodeoxycorticosterone;GABAA receptor α6 subunit;t;;Human;;Potentiation
bicuculline;GABAA receptor α6 subunit;f;;Human;;Antagonist
gabazine;GABAA receptor α6 subunit;f;;Human;;Antagonist
[3H]gabazine;GABAA receptor α6 subunit;f;;Human;;Antagonist
picrotoxin;GABAA receptor α6 subunit;f;;Human;;None
[35S]TBPS;GABAA receptor α6 subunit;f;;Human;;None
TBPS;GABAA receptor α6 subunit;f;;Human;;None
picrotoxin;GABAA receptor β1 subunit;f;;Human;;None
TBPS;GABAA receptor β1 subunit;f;;Human;;None
picrotoxin;GABAA receptor β2 subunit;f;;Human;;None
TBPS;GABAA receptor β2 subunit;f;;Human;;None
etazolate;GABAA receptor β3 subunit;f;;Human;8773466;Binding
picrotoxin;GABAA receptor β3 subunit;f;;Human;;None
TBPS;GABAA receptor β3 subunit;f;;Human;;None
gaboxadol;GABAA receptor δ subunit;f;;Human;;Full agonist
picrotoxin;GABAA receptor δ subunit;f;;Human;;None
TBPS;GABAA receptor δ subunit;f;;Human;;None
picrotoxin;GABAA receptor ε subunit;f;;Human;;None
TBPS;GABAA receptor ε subunit;f;;Human;;None
picrotoxin;GABAA receptor γ1 subunit;f;;Human;;None
TBPS;GABAA receptor γ1 subunit;f;;Human;;None
picrotoxin;GABAA receptor γ2 subunit;f;;Human;;None
TBPS;GABAA receptor γ2 subunit;f;;Human;;None
picrotoxin;GABAA receptor γ3 subunit;f;;Human;;None
TBPS;GABAA receptor γ3 subunit;f;;Human;;None
picrotoxin;GABAA receptor π subunit;f;;Human;;None
TBPS;GABAA receptor π subunit;f;;Human;;None
CACA;GABAA receptor ρ1 subunit;f;;Rat;8386310;Agonist
5-Me-IAA;GABAA receptor ρ1 subunit;f;;Human;;Full agonist
(±)-cis-2-CAMP;GABAA receptor ρ1 subunit;f;;Human;;Full agonist
isoguvacine;GABAA receptor ρ1 subunit;f;;Human;;Partial agonist
muscimol;GABAA receptor ρ1 subunit;f;;Human;;Partial agonist
aza-THIP;GABAA receptor ρ1 subunit;f;;Human;;Antagonist
gaboxadol;GABAA receptor ρ1 subunit;f;;Human;;Antagonist
cis-3-ACPBPA;GABAA receptor ρ1 subunit;f;;Human;;Antagonist
isonipecotic acid;GABAA receptor ρ1 subunit;f;;Human;;Antagonist
trans-3-ACPBPA;GABAA receptor ρ1 subunit;f;;Human;;Antagonist
piperidine-4-sulphonic acid;GABAA receptor ρ1 subunit;f;;Human;;Antagonist
TPMPA;GABAA receptor ρ1 subunit;f;;Human;;Antagonist
picrotoxin;GABAA receptor ρ1 subunit;f;;Human;;None
TBPS;GABAA receptor ρ1 subunit;f;;Human;;None
5-Me-IAA;GABAA receptor ρ2 subunit;f;;Human;;Full agonist
(±)-cis-2-CAMP;GABAA receptor ρ2 subunit;f;;Human;;Full agonist
isoguvacine;GABAA receptor ρ2 subunit;f;;Human;;Partial agonist
muscimol;GABAA receptor ρ2 subunit;f;;Human;;Partial agonist
aza-THIP;GABAA receptor ρ2 subunit;f;;Human;;Antagonist
gaboxadol;GABAA receptor ρ2 subunit;f;;Human;;Antagonist
cis-3-ACPBPA;GABAA receptor ρ2 subunit;f;;Human;;Antagonist
isonipecotic acid;GABAA receptor ρ2 subunit;f;;Human;;Antagonist
trans-3-ACPBPA;GABAA receptor ρ2 subunit;f;;Human;;Antagonist
piperidine-4-sulphonic acid;GABAA receptor ρ2 subunit;f;;Human;;Antagonist
TPMPA;GABAA receptor ρ2 subunit;f;;Human;;Antagonist
picrotoxin;GABAA receptor ρ2 subunit;f;;Human;;None
TBPS;GABAA receptor ρ2 subunit;f;;Human;;None
5-Me-IAA;GABAA receptor ρ3 subunit;f;;Human;;Full agonist
(±)-cis-2-CAMP;GABAA receptor ρ3 subunit;f;;Human;;Full agonist
isoguvacine;GABAA receptor ρ3 subunit;f;;Human;;Partial agonist
muscimol;GABAA receptor ρ3 subunit;f;;Human;;Partial agonist
aza-THIP;GABAA receptor ρ3 subunit;f;;Human;;Antagonist
gaboxadol;GABAA receptor ρ3 subunit;f;;Human;;Antagonist
cis-3-ACPBPA;GABAA receptor ρ3 subunit;f;;Human;;Antagonist
isonipecotic acid;GABAA receptor ρ3 subunit;f;;Human;;Antagonist
trans-3-ACPBPA;GABAA receptor ρ3 subunit;f;;Human;;Antagonist
piperidine-4-sulphonic acid;GABAA receptor ρ3 subunit;f;;Human;;Antagonist
TPMPA;GABAA receptor ρ3 subunit;f;;Human;;Antagonist
picrotoxin;GABAA receptor ρ3 subunit;f;;Human;;None
TBPS;GABAA receptor ρ3 subunit;f;;Human;;None
picrotoxin;GABAA receptor θ subunit;f;;Human;;None
TBPS;GABAA receptor θ subunit;f;;Human;;None
3-APPA;GABAB1;f;;Rat;9069281;Agonist
lesogaberan;GABAB1;f;;Human;;Agonist
(-)-baclofen;GABAB1;f;;Rat;9069281;Full agonist
CGP 47656;GABAB1;f;;Human;9069281;Full agonist
GABA;GABAB1;t;;Rat;9069281;Full agonist
2-hydroxy-saclofen;GABAB1;f;;Rat;9069281;Antagonist
CGP 35348;GABAB1;f;;Rat;9069281|7650685;Antagonist
CGP 54626A;GABAB1;f;;Rat;9069281;Antagonist
CGP 56999A;GABAB1;f;;Rat;9069281;Antagonist
CGP 62349;GABAB1;f;;Rat;9069281;Antagonist
CGP 64213;GABAB1;f;;Rat;9069281;Antagonist
CGP 71872;GABAB1;f;;Rat;9069281;Antagonist
saclofen;GABAB1;f;;Rat;9069281;Antagonist
SCH 50911;GABAB1;f;;Rat;7562513;Antagonist
[125I]CGP 64213;GABAB1;f;;Rat;9069281;Antagonist
[125I]CGP 71872;GABAB1;f;;Rat;9069281;Antagonist
CGP7930;GABAB2;f;;Rat;15126507|11641424;Positive
3-APPA;GABAB receptor;f;;Rat;;Agonist
[3H](R)-(-)-baclofen;GABAB receptor;f;;None;;Agonist
3-APMPA;GABAB receptor;f;;Rat;;Full agonist
3-APMPA;GABAB receptor;f;;Human;11082110;Full agonist
3-APPA;GABAB receptor;f;;Human;12663046;Full agonist
baclofen;GABAB receptor;f;;Human;11082110|12663046;Full agonist
(-)-baclofen;GABAB receptor;f;;Rat;;Full agonist
CGP 44532;GABAB receptor;f;;Rat;;Full agonist
GABA;GABAB receptor;t;;Human;11082110|12663046;Full agonist
GABA;GABAB receptor;t;;Rat;;Full agonist
compound 14 [PMID: 25050158];GABAB receptor;f;;Human;25050158;Negative
CGP7930;GABAB receptor;f;;Human;11641424;Positive
GS39783;GABAB receptor;f;;Human;12954816|29514854;Positive
rac-BHFF;GABAB receptor;f;;Human;18536733;Positive
2-hydroxy-saclofen;GABAB receptor;f;;Rat;9069281;Antagonist
CGP 35348;GABAB receptor;f;;Rat;12037141;Antagonist
CGP 35348;GABAB receptor;f;;Human;11082110;Antagonist
CGP 36742;GABAB receptor;f;;Rat;12037141;Antagonist
CGP 46381;GABAB receptor;f;;Human;11082110;Antagonist
CGP 54626A;GABAB receptor;f;;Human;11082110|12663046;Antagonist
CGP 55845;GABAB receptor;f;;Rat;12037141;Antagonist
CGP 55845;GABAB receptor;f;;Human;11082110;Antagonist
CGP 62349;GABAB receptor;f;;Human;11082110|12663046;Antagonist
phaclofen;GABAB receptor;f;;Rat;12037141;Antagonist
phaclofen;GABAB receptor;f;;Human;11082110;Antagonist
saclofen;GABAB receptor;f;;Human;11082110|12663046;Antagonist
saclofen;GABAB receptor;f;;Rat;12037141;Antagonist
SCH 50911;GABAB receptor;f;;Human;11082110|12663046;Antagonist
SCH 50911;GABAB receptor;f;;Rat;7562513;Antagonist
[125I]CGP 64213;GABAB receptor;f;;Rat;10692480;Antagonist
[125I]CGP 71872;GABAB receptor;f;;Rat;9069281;Antagonist
[3H]CGP 54626;GABAB receptor;f;;Rat;9872315;Antagonist
[3H]CGP 62349;GABAB receptor;f;;Rat;10521582;Antagonist
alarin;GAL1 receptor;f;Rat;Rat;20880399;Agonist
galanin(10-29) (pig);GAL1 receptor;f;;Rat;8750821;Agonist
galanin(10-29) (rat/mouse);GAL1 receptor;f;;Mouse;9832122;Agonist
galanin(1-11);GAL1 receptor;f;;Human;11481429;Agonist
galanin(1-13)amide;GAL1 receptor;f;;Rat;8738882;Agonist
galanin(1-15);GAL1 receptor;f;;Rat;9305929|8750821;Agonist
galanin(1-15);GAL1 receptor;f;;Human;9685625;Agonist
galanin(1-16) (rat/mouse/pig);GAL1 receptor;f;;Human;9808667|9880084|7524088|19053761;Agonist
galanin(1-16) (rat/mouse/pig);GAL1 receptor;f;;Rat;9168941|9108306;Agonist
galanin(1-16) (rat/mouse/pig);GAL1 receptor;f;;Human;9168941|9685625;Agonist
galanin(1-16) (rat/mouse/pig);GAL1 receptor;f;;Rat;9305929|9722565|9281594|8750821|8562318|9405385|9742938;Agonist
galanin(1-16) (rat/mouse/pig);GAL1 receptor;f;;Mouse;9271210|9832122;Agonist
galanin(1-19) (human);GAL1 receptor;f;;Human;9168941;Agonist
galanin(1-19) (human);GAL1 receptor;f;;Rat;9168941;Agonist
galanin(2-11);GAL1 receptor;f;;Human;15944002;Agonist
galanin(2-11);GAL1 receptor;f;;Human;11481429;Agonist
galanin(2-30) (human);GAL1 receptor;f;;Human;11983932;Agonist
galanin(3-29) (pig);GAL1 receptor;f;;Human;9880084|7524088;Agonist
galanin(3-29) (pig);GAL1 receptor;f;;Rat;9305929|9722565|8750821|8562318;Agonist
galanin(3-29) (pig);GAL1 receptor;f;;Human;9685625;Agonist
galanin(3-29) (rat/mouse);GAL1 receptor;f;;Rat;9405385|9742938;Agonist
galanin(3-29) (rat/mouse);GAL1 receptor;f;;Human;9168941;Agonist
galanin(3-29) (rat/mouse);GAL1 receptor;f;;Rat;9168941|9108306;Agonist
galanin(3-29) (rat/mouse);GAL1 receptor;f;;Mouse;9832122;Agonist
galanin(7-29) (pig);GAL1 receptor;f;;Rat;9722565;Agonist
galanin(7-29) (pig);GAL1 receptor;f;;Human;9880084;Agonist
galanin(D-Trp2) (pig);GAL1 receptor;f;;Rat;9305929|9722565;Agonist
galanin(D-Trp2) (pig);GAL1 receptor;f;;Human;9880084;Agonist
galanin-like peptide;GAL1 receptor;f;Pig;Rat;10601261;Agonist
galanin-like peptide;GAL1 receptor;f;Pig;Rat;10601261;Agonist
galanin-like peptide;GAL1 receptor;f;Human;Human;15944009;Agonist
galanin-like peptide;GAL1 receptor;f;Rat;Rat;20880399;Agonist
Gal-B2;GAL1 receptor;f;;Human;19053761;Agonist
Gal-B2-C10;GAL1 receptor;f;;Human;19199479;Agonist
Gal-B2-C12;GAL1 receptor;f;;Human;19199479;Agonist
Gal-B2-C14;GAL1 receptor;f;;Human;19199479;Agonist
Gal-B2-C18;GAL1 receptor;f;;Human;19199479;Agonist
Gal-B2-C8;GAL1 receptor;f;;Human;19199479;Agonist
Gal-B2-dPEG24;GAL1 receptor;f;;Human;23259957;Agonist
Gal-B2-MPEG4;GAL1 receptor;f;;Human;19199479;Agonist
Gal-B5;GAL1 receptor;f;;Human;19053761;Agonist
Gal-(K)4;GAL1 receptor;f;;Human;19199479;Agonist
galmic;GAL1 receptor;f;;Human;15944006|15240875;Agonist
galnon;GAL1 receptor;f;;Human;15944006|15240875;Agonist
GALP(1-32) (human);GAL1 receptor;f;;Human;15944009;Agonist
GALP(3-32) (human);GAL1 receptor;f;;Human;15944009;Agonist
galparan;GAL1 receptor;f;;Rat;8738882;Agonist
J18 (galanin analogue);GAL1 receptor;f;;Human;23600864;Agonist
J20 (galanin analogue);GAL1 receptor;f;;Human;23600864;Agonist
M1145;GAL1 receptor;f;;Human;19467704;Agonist
M1151;GAL1 receptor;f;;Human;21333705;Agonist
M1152;GAL1 receptor;f;;Human;21333705;Agonist
M1153;GAL1 receptor;f;;Human;21333705;Agonist
M1160;GAL1 receptor;f;;Human;23192661;Agonist
M242;GAL1 receptor;f;;Human;11600206;Agonist
M617;GAL1 receptor;f;;Human;;Agonist
[N-Me,des-Sar]Gal-B2;GAL1 receptor;f;;Human;20121116;Agonist
[Sar1, D-Ala12]galanin(1-16);GAL1 receptor;f;;Human;11491429;Agonist
[125I][Tyr26]galanin (human);GAL1 receptor;f;;Human;9808667;Agonist
[125I][Tyr26]galanin (human);GAL1 receptor;f;;Human;9808667;Agonist
[125I][Tyr26]galanin (pig);GAL1 receptor;f;;Rat;9305929|9722565|8750821|9685625|8562318|9578584;Agonist
[125I][Tyr26]galanin (pig);GAL1 receptor;f;;Human;9880084;Agonist
[125I][Tyr26]galanin (rat/mouse);GAL1 receptor;f;;Mouse;9271210;Agonist
[19Lys,26Leu]-galparan;GAL1 receptor;f;;Rat;8738882;Agonist
[2Ala]-galparan;GAL1 receptor;f;;Rat;8738882;Agonist
galanin;GAL1 receptor;t;Human;Human;11481429|9168941|9685625;Full agonist
galanin;GAL1 receptor;t;Mouse|Rat;Rat;10601261|20880399;Full agonist
galanin;GAL1 receptor;t;Human;Human;9808667|9880084|7524088|11600206;Full agonist
galanin;GAL1 receptor;f;Human;Rat;9168941|9108306;Full agonist
galanin;GAL1 receptor;f;Mouse|Rat;Human;9880084|7524088|19467704|21333705|15944002;Full agonist
galanin;GAL1 receptor;f;Mouse|Rat;Human;9685625;Full agonist
galanin;GAL1 receptor;t;Mouse|Rat;Rat;9722565|9281594|8562318|9405385|9742938;Full agonist
galanin;GAL1 receptor;t;Mouse|Rat;Rat;10601261;Full agonist
galanin;GAL1 receptor;t;Mouse|Rat;Mouse;9271210|9832122;Full agonist
galanin;GAL1 receptor;f;Pig;Human;9808667|9880084|7524088;Full agonist
galanin;GAL1 receptor;f;Pig;Human;7524088;Full agonist
galanin;GAL1 receptor;f;Pig;Rat;9305929|9722565|8750821|8562318;Full agonist
galanin;GAL1 receptor;f;Pig;Rat;9168941|9108306;Full agonist
galanin;GAL1 receptor;f;Human;Rat;9722565|8562318;Full agonist
galanin;GAL1 receptor;f;Pig;Human;9168941|9685625;Full agonist
galanin;GAL1 receptor;f;Pig;Rat;8738882;Full agonist
galanin(2-29) (pig);GAL1 receptor;f;;Human;9685625;Full agonist
galanin(2-29) (pig);GAL1 receptor;f;;Human;9880084;Full agonist
galanin(2-29) (pig);GAL1 receptor;f;;Rat;8750821|8562318;Full agonist
galanin(2-29) (rat/mouse);GAL1 receptor;f;;Rat;9168941|9108306;Full agonist
galanin(2-29) (rat/mouse);GAL1 receptor;f;;Mouse;9271210|9832122;Full agonist
galanin(2-29) (rat/mouse);GAL1 receptor;f;;Rat;9281594|9405385|9742938;Full agonist
galanin(2-29) (rat/mouse);GAL1 receptor;f;;Human;9168941;Full agonist
2,3-dihydro-1,4-dithiin-1,1,4,4-tetroxide;GAL1 receptor;f;;Human;10896115;Antagonist
C7;GAL1 receptor;f;;Mouse;9271210|9832122;Antagonist
C7;GAL1 receptor;f;;Human;9808667|9880084;Antagonist
C7;GAL1 receptor;f;;Human;9168941|9685625;Antagonist
C7;GAL1 receptor;f;;Rat;9305929|9722565|8750821;Antagonist
